resource_type,key,category,group,entry_id,module_id,source_name,filename,relative_path,url,bytes,content_length,status
cinema,cinema|1861|279|影画展示1|https://act-upload.mihoyo.com/nap-obc-indep/2026/04/16/439466880/71e20b5583f093b79fb5d80815e7e3fb_8998123168084224999.png,官方意象影画,希希芙,1861,279,影画展示1,影画展示1.png,官方意象影画\希希芙\影画展示1.png,https://act-upload.mihoyo.com/nap-obc-indep/2026/04/16/439466880/71e20b5583f093b79fb5d80815e7e3fb_8998123168084224999.png,,,
cinema,cinema|1861|279|影画展示2|https://act-upload.mihoyo.com/nap-obc-indep/2026/04/16/439466880/22c341e009ae81a690ed896c2a343de6_3777537388339391028.png,官方意象影画,希希芙,1861,279,影画展示2,影画展示2.png,官方意象影画\希希芙\影画展示2.png,https://act-upload.mihoyo.com/nap-obc-indep/2026/04/16/439466880/22c341e009ae81a690ed896c2a343de6_3777537388339391028.png,,,
cinema,cinema|1861|279|影画展示3|https://act-upload.mihoyo.com/nap-obc-indep/2026/04/15/76099754/ac2b92f6d5b936c06d56aff5f3bfdb9d_2922335594929204113.png,官方意象影画,希希芙,1861,279,影画展示3,影画展示3.png,官方意象影画\希希芙\影画展示3.png,https://act-upload.mihoyo.com/nap-obc-indep/2026/04/15/76099754/ac2b92f6d5b936c06d56aff5f3bfdb9d_2922335594929204113.png,,,
cinema,cinema|1499|279|影画展示1|https://act-upload.mihoyo.com/nap-obc-indep/2025/09/04/141353238/107a615ce0636c59dfb8c03a8e1390e0_7174493538888712730.png,官方意象影画,席德,1499,279,影画展示1,影画展示1.png,官方意象影画\席德\影画展示1.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/09/04/141353238/107a615ce0636c59dfb8c03a8e1390e0_7174493538888712730.png,,,
cinema,cinema|1499|279|影画展示2|https://act-upload.mihoyo.com/nap-obc-indep/2025/09/04/141353238/bb6d4377231250927a0145089c6d0b19_6994283036359566567.png,官方意象影画,席德,1499,279,影画展示2,影画展示2.png,官方意象影画\席德\影画展示2.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/09/04/141353238/bb6d4377231250927a0145089c6d0b19_6994283036359566567.png,,,
cinema,cinema|1499|279|影画展示3|https://act-upload.mihoyo.com/nap-obc-indep/2025/09/04/141353238/a91d1c8cc145c7da490fbdb4d41fb33d_8930642118752991202.png,官方意象影画,席德,1499,279,影画展示3,影画展示3.png,官方意象影画\席德\影画展示3.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/09/04/141353238/a91d1c8cc145c7da490fbdb4d41fb33d_8930642118752991202.png,,,
cinema,cinema|1852|279|影画展示1|https://act-upload.mihoyo.com/nap-obc-indep/2026/03/24/76099754/d4a5878206c8da8abe5401500ac97db8_2690872709900385249.png,官方意象影画,南宫羽,1852,279,影画展示1,影画展示1.png,官方意象影画\南宫羽\影画展示1.png,https://act-upload.mihoyo.com/nap-obc-indep/2026/03/24/76099754/d4a5878206c8da8abe5401500ac97db8_2690872709900385249.png,,,
cinema,cinema|1852|279|影画展示2|https://act-upload.mihoyo.com/nap-obc-indep/2026/03/24/76099754/9eb071eac551c447113c337db06c6d66_1213009635754088228.png,官方意象影画,南宫羽,1852,279,影画展示2,影画展示2.png,官方意象影画\南宫羽\影画展示2.png,https://act-upload.mihoyo.com/nap-obc-indep/2026/03/24/76099754/9eb071eac551c447113c337db06c6d66_1213009635754088228.png,,,
cinema,cinema|1852|279|影画展示3|https://act-upload.mihoyo.com/nap-obc-indep/2026/03/24/76099754/3c295970f08564f14cc47f2a526f4c77_7082097647693198176.png,官方意象影画,南宫羽,1852,279,影画展示3,影画展示3.png,官方意象影画\南宫羽\影画展示3.png,https://act-upload.mihoyo.com/nap-obc-indep/2026/03/24/76099754/3c295970f08564f14cc47f2a526f4c77_7082097647693198176.png,,,
cinema,cinema|1793|279|影画展示1|https://act-upload.mihoyo.com/nap-obc-indep/2026/03/04/15559334/79829c4a1a1ee81590d7860b1b372e67_4103967758910084564.png,官方意象影画,爱芮,1793,279,影画展示1,影画展示1.png,官方意象影画\爱芮\影画展示1.png,https://act-upload.mihoyo.com/nap-obc-indep/2026/03/04/15559334/79829c4a1a1ee81590d7860b1b372e67_4103967758910084564.png,,,
cinema,cinema|1793|279|影画展示2|https://act-upload.mihoyo.com/nap-obc-indep/2026/04/21/76099754/308577c2d91f0130a3b5f894104fa28f_2973452464894300446.png,官方意象影画,爱芮,1793,279,影画展示2,影画展示2.png,官方意象影画\爱芮\影画展示2.png,https://act-upload.mihoyo.com/nap-obc-indep/2026/04/21/76099754/308577c2d91f0130a3b5f894104fa28f_2973452464894300446.png,,,
cinema,cinema|1793|279|影画展示3|https://act-upload.mihoyo.com/nap-obc-indep/2026/03/04/15559334/cf4879bfe26a706cb1d1b4d0d42e91d5_2912038973003802971.png,官方意象影画,爱芮,1793,279,影画展示3,影画展示3.png,官方意象影画\爱芮\影画展示3.png,https://act-upload.mihoyo.com/nap-obc-indep/2026/03/04/15559334/cf4879bfe26a706cb1d1b4d0d42e91d5_2912038973003802971.png,,,
cinema,cinema|1791|279|影画展示1|https://act-upload.mihoyo.com/nap-obc-indep/2026/02/06/76099754/417658185f9cf0c6e0907156066268ec_5492527494208538221.png,官方意象影画,千夏,1791,279,影画展示1,影画展示1.png,官方意象影画\千夏\影画展示1.png,https://act-upload.mihoyo.com/nap-obc-indep/2026/02/06/76099754/417658185f9cf0c6e0907156066268ec_5492527494208538221.png,,,
cinema,cinema|1791|279|影画展示2|https://act-upload.mihoyo.com/nap-obc-indep/2026/04/27/76099754/678ec37569e3aafa48fc331efa588083_8657973623905433233.png,官方意象影画,千夏,1791,279,影画展示2,影画展示2.png,官方意象影画\千夏\影画展示2.png,https://act-upload.mihoyo.com/nap-obc-indep/2026/04/27/76099754/678ec37569e3aafa48fc331efa588083_8657973623905433233.png,,,
cinema,cinema|1791|279|影画展示3|https://act-upload.mihoyo.com/nap-obc-indep/2026/02/06/76099754/13666dd20b2da8f2721bef43c6fd2e2b_8488383116535685613.png,官方意象影画,千夏,1791,279,影画展示3,影画展示3.png,官方意象影画\千夏\影画展示3.png,https://act-upload.mihoyo.com/nap-obc-indep/2026/02/06/76099754/13666dd20b2da8f2721bef43c6fd2e2b_8488383116535685613.png,,,
cinema,cinema|1687|279|影画展示1|https://act-upload.mihoyo.com/nap-obc-indep/2025/12/30/76099754/04ff6f9c1ad093c38af23cf2f29feaa3_7228501058254494386.png,官方意象影画,叶瞬光,1687,279,影画展示1,影画展示1.png,官方意象影画\叶瞬光\影画展示1.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/12/30/76099754/04ff6f9c1ad093c38af23cf2f29feaa3_7228501058254494386.png,,,
cinema,cinema|1687|279|影画展示2|https://act-upload.mihoyo.com/nap-obc-indep/2025/12/30/76099754/1bcde1021ff01fa618aafa2489f179e4_2319057735716888381.png,官方意象影画,叶瞬光,1687,279,影画展示2,影画展示2.png,官方意象影画\叶瞬光\影画展示2.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/12/30/76099754/1bcde1021ff01fa618aafa2489f179e4_2319057735716888381.png,,,
